y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label,index
0,1,7,13,22,31,35,39,44,50,54,56,56,57,58,60,61,62,63,64,65,65,65,66,67,67,68,68,68,68,62,1
0,3,7,13,18,22,29,31,33,36,40,44,46,47,49,51,53,54,55,55,55,55,54,54,54,54,54,54,54,54,32,2
-8,0,8,15,22,27,30,33,37,41,43,45,46,47,48,50,52,52,53,54,54,54,55,56,57,57,58,58,59,59,46,3
-5,-1,1,5,11,15,19,25,29,33,37,39,40,41,41,41,41,41,41,40,39,39,39,39,38,38,38,38,37,36,59,4
12,15,18,22,23,25,27,29,30,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,91,5
13,13,15,19,24,27,30,33,36,37,38,39,40,40,40,40,39,38,37,36,36,37,37,37,36,36,35,35,35,35,48,6
11,11,13,17,20,26,31,35,38,40,41,41,41,42,44,43,42,41,40,40,40,40,40,39,38,38,38,38,38,38,51,7
7,10,13,16,20,24,29,34,38,41,43,45,46,47,47,48,49,49,49,49,49,49,49,48,47,47,47,47,47,47,63,8
12,15,17,21,25,30,34,38,41,44,49,51,52,53,54,55,56,56,57,57,57,57,57,57,57,57,57,57,57,57,92,9
0,-1,0,7,13,19,26,31,35,39,42,45,48,51,53,54,55,56,57,58,59,60,61,61,61,61,61,61,61,61,70,10
18,21,26,31,35,38,41,43,45,47,49,51,53,55,56,57,58,59,60,61,61,61,61,61,61,61,61,61,60,60,79,11
37,41,44,47,50,53,57,59,61,62,63,63,64,65,65,66,65,65,65,65,65,66,66,66,66,66,66,66,66,65,65,12
12,17,23,29,35,39,45,50,55,59,61,63,64,65,66,66,67,67,67,67,67,67,67,68,68,68,68,68,68,68,70,13
-4,0,1,1,2,7,14,23,32,40,45,50,52,54,55,56,58,59,60,59,59,59,59,59,58,57,56,55,54,53,84,14
12,19,26,34,40,48,54,59,64,68,70,72,73,73,72,72,72,72,72,72,71,70,69,69,68,67,67,66,65,65,93,15
20,25,29,36,43,48,52,56,60,64,69,73,74,75,75,75,75,75,76,76,76,76,75,75,75,75,75,75,75,74,85,16
28,35,39,45,50,56,61,65,69,72,73,74,75,75,75,76,76,77,78,77,76,76,76,76,76,76,76,76,76,75,94,17
6,10,16,26,36,44,52,61,68,73,77,80,81,82,82,83,84,85,87,88,88,88,88,88,88,88,88,88,88,88,98,18
16,22,31,40,50,56,61,66,68,70,71,72,72,72,72,71,71,71,70,69,68,67,65,61,57,52,43,29,33,38,100,19
9,10,17,22,30,36,42,46,50,53,56,58,58,59,59,59,58,58,58,58,58,58,58,58,57,56,55,54,52,50,100,20
23,27,34,43,50,56,61,65,66,68,69,70,70,70,70,70,70,70,69,68,67,66,65,64,64,64,63,62,61,60,100,21
0,1,4,9,13,16,21,27,33,38,42,45,47,49,51,52,53,53,53,53,53,53,53,53,53,53,53,52,52,52,58,22
10,13,17,22,27,32,35,39,42,45,47,49,50,51,51,51,51,51,51,51,51,51,50,50,50,50,49,48,47,47,60,23
9,11,13,16,21,26,34,39,44,48,51,52,53,54,54,54,54,54,53,52,52,51,51,51,51,50,49,48,47,46,54,24
2,3,8,12,16,22,28,33,36,39,41,43,45,46,47,47,47,47,47,46,46,45,44,43,43,43,43,43,43,42,47,25
19,23,28,33,38,43,47,50,53,55,56,57,57,57,57,57,57,57,57,57,56,55,55,55,55,55,54,54,53,52,69,26
18,22,24,29,34,38,43,47,51,54,57,59,61,61,61,61,61,61,61,61,60,60,60,59,59,59,59,59,59,59,74,27
3,6,12,18,23,28,38,44,49,54,58,61,65,66,67,68,68,68,68,67,66,66,66,66,66,66,67,67,67,66,66,28
16,21,29,38,44,48,51,54,57,59,61,61,62,63,63,63,63,62,62,62,62,62,62,63,63,63,63,62,62,62,70,29
21,27,35,41,46,50,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,99,30
38,43,46,49,51,52,53,53,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,52,52,51,52,53,53,53,89,31
32,39,47,52,55,58,59,60,60,59,59,59,58,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,108,32
40,43,45,47,48,48,48,48,48,48,48,48,49,49,50,51,51,51,51,51,52,52,52,53,54,54,54,55,54,53,80,33
49,54,57,59,61,63,64,64,64,65,66,66,66,66,66,66,66,66,66,66,66,66,65,64,64,64,63,62,61,61,92,34
50,57,63,68,71,72,73,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,73,73,72,86,35
13,18,24,30,37,42,47,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,52,52,51,51,87,36
0,2,4,7,12,17,22,28,33,35,37,40,43,45,47,49,50,51,52,52,53,53,53,54,55,55,55,55,54,53,45,37
23,25,29,33,35,39,42,45,47,49,51,52,52,52,53,54,54,54,54,54,54,54,54,54,54,54,53,52,52,51,80,38
23,27,33,39,43,49,55,58,62,66,65,63,63,62,61,60,59,59,59,59,59,59,59,59,58,58,58,57,57,57,73,39
0,2,6,12,19,26,36,43,49,54,59,64,66,68,69,70,72,73,74,75,75,75,75,75,75,75,75,75,75,75,79,40
9,10,14,21,31,37,42,47,51,54,56,57,58,59,60,60,60,60,60,60,60,60,59,59,59,58,57,57,57,57,99,41
20,20,3,7,13,23,34,42,47,50,52,55,55,55,55,55,55,55,55,55,55,56,57,57,57,57,58,58,57,57,93,42
2,6,12,21,29,37,42,45,49,54,58,60,62,63,63,63,63,64,63,63,63,62,62,61,60,59,59,59,58,57,70,43
-1,-1,0,6,13,22,32,40,48,56,62,67,66,66,67,66,66,66,66,67,67,67,67,67,66,66,65,64,64,64,77,44
12,16,22,30,37,43,49,52,55,59,62,63,63,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,64,64,56,45
0,2,6,12,19,27,34,40,45,48,51,55,58,61,64,65,67,68,68,69,69,69,69,69,69,69,69,68,67,67,48,46
18,21,26,33,40,44,48,52,54,56,58,60,62,63,64,65,65,66,66,66,66,65,64,63,63,63,63,62,61,60,49,47
0,1,2,9,19,28,34,38,40,44,48,50,51,52,53,53,52,52,51,50,50,49,48,47,47,46,45,45,44,43,86,48
14,18,22,29,33,37,40,42,44,45,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,67,49
1,5,9,15,21,25,29,33,37,40,43,46,49,51,53,54,55,55,56,56,56,56,56,56,56,56,55,55,55,55,57,50
0,1,1,3,9,15,21,26,32,36,39,42,45,48,50,52,54,55,56,56,56,56,56,56,56,56,56,56,56,55,52,51
0,2,9,19,26,32,38,44,49,52,54,56,58,59,59,60,60,60,60,60,60,60,60,59,59,59,59,58,57,56,62,52
3,6,11,18,25,30,35,40,45,48,51,53,56,59,61,62,63,64,64,64,64,64,64,64,64,64,64,63,62,62,54,53
1,4,8,13,19,28,34,39,44,48,51,54,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,43,54
4,5,7,11,17,26,33,38,42,46,50,54,57,60,62,63,63,64,64,64,64,64,64,64,63,63,63,63,63,63,50,55
10,15,23,30,35,39,43,46,49,52,55,58,60,62,63,64,65,65,65,64,64,63,63,62,62,62,62,59,55,51,40,56
2,5,11,20,28,34,41,47,52,56,59,62,65,67,68,69,70,70,69,69,69,69,69,69,69,69,69,68,67,66,54,57
1,6,13,22,31,37,43,48,52,56,59,62,66,68,70,71,72,73,73,73,73,73,73,73,73,73,72,72,72,72,61,58
9,14,19,25,30,35,39,42,43,45,47,47,48,48,48,48,48,47,47,46,46,45,44,44,43,42,41,40,40,39,55,59
23,26,30,34,37,40,42,43,44,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,47,46,45,58,60
9,12,16,21,28,34,37,39,41,43,45,47,47,48,49,49,49,49,49,49,49,49,49,48,47,47,47,47,47,46,40,61
15,17,22,27,33,38,41,44,47,49,50,52,53,53,54,55,56,56,56,56,56,56,56,56,56,56,55,54,54,53,47,62
12,17,23,29,34,38,41,44,48,50,51,53,54,55,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,54,62,63
3,8,14,21,29,36,41,45,48,50,52,54,56,58,60,62,63,64,64,64,64,64,64,64,64,63,62,61,61,61,56,64
-5,-2,-1,4,11,20,29,36,42,48,53,57,59,62,65,67,68,68,68,68,67,66,65,65,65,65,65,65,64,64,62,65
12,17,23,28,35,41,46,50,53,56,59,61,63,65,66,67,67,67,67,67,67,67,67,67,67,66,65,64,64,63,59,66
2,8,16,25,32,38,45,49,53,56,59,61,63,66,68,69,70,71,71,71,71,70,70,70,70,70,70,70,70,70,64,67
1,5,7,12,19,24,28,31,33,35,37,39,40,42,44,47,48,49,50,50,50,50,50,50,50,50,50,50,50,50,59,68
16,20,24,30,37,41,43,46,49,50,50,51,52,52,52,52,52,52,52,52,51,51,50,50,50,50,50,50,50,50,70,69
8,11,14,20,27,33,37,42,44,46,48,50,52,53,54,54,54,54,55,55,55,56,56,56,55,55,55,55,55,55,54,70
-4,0,4,9,15,21,28,33,38,44,50,54,57,60,63,65,66,67,67,67,67,66,65,64,63,63,62,61,60,58,66,71
-1,0,2,7,14,22,28,33,38,42,46,49,51,53,56,58,60,62,63,63,63,63,62,61,61,61,61,61,60,60,50,72
3,4,7,13,21,29,36,42,48,53,56,59,62,64,64,64,64,64,64,64,64,64,64,64,64,63,63,63,63,63,61,73
7,11,16,22,28,34,39,42,45,48,51,53,55,58,60,61,61,62,62,62,62,62,62,62,62,62,61,60,59,58,42,74
6,13,21,29,36,43,49,53,57,62,65,68,70,72,73,73,73,73,73,73,73,73,73,72,72,72,71,70,69,68,63,75
-4,-1,3,11,19,26,32,38,45,50,54,57,60,63,66,68,69,71,73,74,74,74,74,74,74,74,74,74,73,72,51,76
