y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
0,1,7,13,22,31,35,39,44,50,54,56,56,57,58,60,61,62,63,64,65,65,65,66,67,67,68,68,68,68,62
0,3,7,13,18,22,29,31,33,36,40,44,46,47,49,51,53,54,55,55,55,55,54,54,54,54,54,54,54,54,32
-8,0,8,15,22,27,30,33,37,41,43,45,46,47,48,50,52,52,53,54,54,54,55,56,57,57,58,58,59,59,46
-5,-1,1,5,11,15,19,25,29,33,37,39,40,41,41,41,41,41,41,40,39,39,39,39,38,38,38,38,37,36,59
13,13,15,19,24,27,30,33,36,37,38,39,40,40,40,40,39,38,37,36,36,37,37,37,36,36,35,35,35,35,48
11,11,13,17,20,26,31,35,38,40,41,41,41,42,44,43,42,41,40,40,40,40,40,39,38,38,38,38,38,38,51
7,10,13,16,20,24,29,34,38,41,43,45,46,47,47,48,49,49,49,49,49,49,49,48,47,47,47,47,47,47,63
12,15,17,21,25,30,34,38,41,44,49,51,52,53,54,55,56,56,57,57,57,57,57,57,57,57,57,57,57,57,92
0,-1,0,7,13,19,26,31,35,39,42,45,48,51,53,54,55,56,57,58,59,60,61,61,61,61,61,61,61,61,70
18,21,26,31,35,38,41,43,45,47,49,51,53,55,56,57,58,59,60,61,61,61,61,61,61,61,61,61,60,60,79
37,41,44,47,50,53,57,59,61,62,63,63,64,65,65,66,65,65,65,65,65,66,66,66,66,66,66,66,66,65,65
12,17,23,29,35,39,45,50,55,59,61,63,64,65,66,66,67,67,67,67,67,67,67,68,68,68,68,68,68,68,70
-4,0,1,1,2,7,14,23,32,40,45,50,52,54,55,56,58,59,60,59,59,59,59,59,58,57,56,55,54,53,84
12,19,26,34,40,48,54,59,64,68,70,72,73,73,72,72,72,72,72,72,71,70,69,69,68,67,67,66,65,65,93
20,25,29,36,43,48,52,56,60,64,69,73,74,75,75,75,75,75,76,76,76,76,75,75,75,75,75,75,75,74,85
28,35,39,45,50,56,61,65,69,72,73,74,75,75,75,76,76,77,78,77,76,76,76,76,76,76,76,76,76,75,94
6,10,16,26,36,44,52,61,68,73,77,80,81,82,82,83,84,85,87,88,88,88,88,88,88,88,88,88,88,88,98
9,10,17,22,30,36,42,46,50,53,56,58,58,59,59,59,58,58,58,58,58,58,58,58,57,56,55,54,52,50,100
23,27,34,43,50,56,61,65,66,68,69,70,70,70,70,70,70,70,69,68,67,66,65,64,64,64,63,62,61,60,100
0,1,4,9,13,16,21,27,33,38,42,45,47,49,51,52,53,53,53,53,53,53,53,53,53,53,53,52,52,52,58
10,13,17,22,27,32,35,39,42,45,47,49,50,51,51,51,51,51,51,51,51,51,50,50,50,50,49,48,47,47,60
9,11,13,16,21,26,34,39,44,48,51,52,53,54,54,54,54,54,53,52,52,51,51,51,51,50,49,48,47,46,54
2,3,8,12,16,22,28,33,36,39,41,43,45,46,47,47,47,47,47,46,46,45,44,43,43,43,43,43,43,42,47
19,23,28,33,38,43,47,50,53,55,56,57,57,57,57,57,57,57,57,57,56,55,55,55,55,55,54,54,53,52,69
18,22,24,29,34,38,43,47,51,54,57,59,61,61,61,61,61,61,61,61,60,60,60,59,59,59,59,59,59,59,74
3,6,12,18,23,28,38,44,49,54,58,61,65,66,67,68,68,68,68,67,66,66,66,66,66,66,67,67,67,66,66
16,21,29,38,44,48,51,54,57,59,61,61,62,63,63,63,63,62,62,62,62,62,62,63,63,63,63,62,62,62,70
21,27,35,41,46,50,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,99
